央视频道,#genre#
CCTV14少儿,http://111.196.132.243:8686/rtp/239.3.1.65:8132$1920x1080
CCTV14少儿,http://123.112.246.248:5555/rtp/239.3.1.65:8132$1920x1080
CCTV14少儿,http://sweetown.fun:4000/rtp/239.3.1.65:8132$1920x1080
CCTV14少儿,http://123.118.6.83:4022/rtp/239.3.1.65:8132$1920x1080
CCTV14少儿,http://221.220.108.96:4000/rtp/239.3.1.65:8132$1920x1080
CCTV14少儿,http://221.219.31.28:8888/rtp/239.3.1.65:8132$1920x1080
CCTV14少儿,http://114.254.94.104:2222/rtp/239.3.1.65:8132$1920x1080
CCTV14少儿,http://114.254.84.178:2222/rtp/239.3.1.65:8132$1920x1080
CCTV14少儿,http://221.220.135.32:9999/rtp/239.3.1.65:8132$1920x1080
CCTV15音乐,http://111.192.187.92:8012/rtp/239.3.1.153:8136$1920x1080
CCTV15音乐,http://111.196.132.243:8686/rtp/239.3.1.153:8136$1920x1080
CCTV15音乐,http://123.112.246.248:5555/rtp/239.3.1.153:8136$1920x1080
CCTV15音乐,http://sweetown.fun:4000/rtp/239.3.1.153:8136$1920x1080
CCTV15音乐,http://123.118.6.83:4022/rtp/239.3.1.153:8136$1920x1080
CCTV15音乐,http://221.220.108.96:4000/rtp/239.3.1.153:8136$1920x1080
CCTV15音乐,http://221.219.31.28:8888/rtp/239.3.1.153:8136$1920x1080
CCTV15音乐,http://114.254.94.104:2222/rtp/239.3.1.153:8136$1920x1080
CCTV15音乐,http://221.220.135.32:9999/rtp/239.3.1.153:8136$1920x1080
CCTV15音乐,http://114.254.83.72:2222/rtp/239.3.1.153:8136$1920x1080
CCTV-17农村农业,http://111.192.187.92:8012/rtp/239.3.1.151:8144$1920x1080
CCTV-17农村农业,http://111.196.132.243:8686/rtp/239.3.1.151:8144$1920x1080
CCTV-17农村农业,http://sweetown.fun:4000/rtp/239.3.1.151:8144$1920x1080
CCTV-17农村农业,http://123.112.246.248:5555/rtp/239.3.1.151:8144$1920x1080
CCTV-17农村农业,http://123.118.6.83:4022/rtp/239.3.1.151:8144$1920x1080
CCTV-17农村农业,http://221.219.31.28:8888/rtp/239.3.1.151:8144$1920x1080
CCTV-17农村农业,http://114.254.94.104:2222/rtp/239.3.1.151:8144$1920x1080
CCTV-17农村农业,http://221.220.135.32:9999/rtp/239.3.1.151:8144$1920x1080
CCTV-17农村农业,http://114.254.84.178:2222/rtp/239.3.1.151:8144$1920x1080
CCTV-17农村农业,http://114.254.83.72:2222/rtp/239.3.1.151:8144$1920x1080

卫视频道,#genre#
浙江卫视,http://111.192.187.92:8012/rtp/239.3.1.137:8036$1920x1080
浙江卫视,http://111.196.132.243:8686/rtp/239.3.1.137:8036$1920x1080
浙江卫视,http://sweetown.fun:4000/rtp/239.3.1.137:8036$1920x1080
浙江卫视,http://123.112.246.248:5555/rtp/239.3.1.137:8036$1920x1080
浙江卫视,http://123.118.6.83:4022/rtp/239.3.1.137:8036$1920x1080
浙江卫视,http://221.219.31.28:8888/rtp/239.3.1.137:8036$1920x1080
浙江卫视,http://114.254.94.104:2222/rtp/239.3.1.137:8036$1920x1080
浙江卫视,http://221.220.135.32:9999/rtp/239.3.1.137:8036$1920x1080
浙江卫视,http://114.254.84.178:2222/rtp/239.3.1.137:8036$1920x1080
浙江卫视,http://114.254.83.72:2222/rtp/239.3.1.137:8036$1920x1080
江苏卫视,http://111.196.132.243:8686/rtp/239.3.1.135:8028$1920x1080
江苏卫视,http://111.192.187.92:8012/rtp/239.3.1.135:8028$1920x1080
江苏卫视,http://sweetown.fun:4000/rtp/239.3.1.135:8028$1920x1080
江苏卫视,http://123.112.246.248:5555/rtp/239.3.1.135:8028$1920x1080
江苏卫视,http://221.219.31.28:8888/rtp/239.3.1.135:8028$1920x1080
江苏卫视,http://123.118.6.83:4022/rtp/239.3.1.135:8028$1920x1080
